T	E_media	Cv	M_bot	M_top	Chi_bot	Chi_top
1	-1.73991	0.0671747	0.417689	0.357777	0.00295334	0.00699475
1.1	-1.72129	0.110572	0.432903	0.321743	0.0215395	0.0510146
1.2	-1.76375	0.111878	0.442654	0.298649	0.01056	0.0250106
1.3	-1.76927	0.247556	0.44422	0.294939	0.00871097	0.0206313
1.4	-1.74716	0.176284	0.451489	0.277723	0.0350051	0.0829068
1.5	-1.76066	0.194888	0.52862	0.0950451	0.0614083	0.145441
1.6	-1.75032	0.256703	0.488148	0.190898	0.0137939	0.0326699
1.7	-1.75316	0.166677	0.523284	0.107682	0.0311856	0.0738606
1.8	-1.71208	0.545066	0.524858	0.103955	0.114215	0.270508
1.9	-1.63922	0.306256	0.46934	0.235445	0.0826164	0.19567
2	-1.58437	0.721298	0.482119	0.205178	0.109202	0.258637
2.1	-1.56123	0.337982	0.476914	0.217506	0.0165783	0.0392644
2.2	-1.47474	0.301148	0.402449	0.39387	0.0452836	0.107251
2.3	-1.32563	0.861636	0.544979	0.0563	0.0685346	0.162319
2.4	-1.25172	0.551916	0.583149	-0.0341036	0.0737014	0.174556
2.5	-1.19017	0.389787	0.50528	0.150325	0.105681	0.250297
2.6	-1.12774	0.269487	0.539569	0.0691135	0.132352	0.313466
2.7	-1.07448	0.324751	0.481353	0.206992	0.130005	0.307906
2.8	-1.02866	0.41867	0.468976	0.236307	0.113234	0.268186
2.9	-0.999716	0.33282	0.467896	0.238865	0.144786	0.342914
3	-0.966202	0.322833	0.468399	0.237673	0.0707361	0.167533
3.1	-0.933854	0.228593	0.464675	0.246494	0.169411	0.401236
3.2	-0.908183	0.226245	0.455657	0.267852	0.183938	0.435643
3.3	-0.889871	0.203238	0.46211	0.252567	0.0472695	0.111954
3.4	-0.852906	0.200745	0.435823	0.314828	0.0512763	0.121444
3.5	-0.837899	0.204206	0.439435	0.306273	0.0872884	0.206736
3.6	-0.822036	0.168516	0.414563	0.365181	0.06581	0.155866
3.7	-0.802879	0.145254	0.438349	0.308844	0.1019	0.241343
3.8	-0.791061	0.144581	0.445215	0.292584	0.0526392	0.124672
3.9	-0.778304	0.121808	0.448312	0.285248	0.0486302	0.115177
