1	0	0.0429344	0.116519	0.124553	0.136634	0.252787	0.418966	0.772816	0.9224	0.994028	0.999578	0.999056	0.937116	0.886931	0.7423	0.564559	0.416328	0.312531	0.30005	0.25705	0.251075	0.222666	0.182647	0.129966	0.192234	0.347656	0.463913	0.517263	0.536894	0.4746	0.474116	0.441875	0.448366	0.612044	0.672591	0.73215	0.782509	0.900178	0.900234	0.901456	0.883016	0.710491	0.581541	0.434566	0.333825	0.296019	0.196675	0.187116	0.17415	0.175878	0.108463	0.0691844	0.120244	0.3026	0.364066	0.464009	0.519672	0.550925	0.589087	0.712675	0.855328	0.989681	0.999222	1
1.1	0	0.000871875	0.0158469	0.102138	0.148972	0.19555	0.375375	0.496919	0.596416	0.769953	0.826484	0.807594	0.813156	0.823166	0.65035	0.602078	0.5513	0.542162	0.549694	0.554634	0.558653	0.572469	0.572887	0.532944	0.429931	0.434769	0.541222	0.528544	0.485637	0.467163	0.461266	0.478825	0.512959	0.519009	0.540541	0.551922	0.567572	0.575744	0.631272	0.604525	0.535013	0.525438	0.498647	0.520925	0.513897	0.470759	0.456009	0.43785	0.405763	0.390259	0.382038	0.371134	0.365681	0.33815	0.219888	0.284244	0.313275	0.374922	0.521378	0.688362	0.756716	0.792078	0.847063	1
1.2	0	0.00114688	0.0175313	0.140288	0.260462	0.369109	0.411878	0.484325	0.59815	0.842113	0.91525	0.949972	0.973825	0.845869	0.782038	0.735275	0.638263	0.58645	0.560641	0.500188	0.475434	0.449563	0.412322	0.374106	0.376694	0.380103	0.400813	0.415447	0.426016	0.460991	0.498722	0.520903	0.513819	0.489859	0.485381	0.520834	0.529888	0.550597	0.567047	0.589978	0.579197	0.519131	0.468528	0.376234	0.332084	0.290147	0.285562	0.291697	0.286341	0.283291	0.289547	0.295563	0.320194	0.3447	0.371975	0.429334	0.475469	0.515878	0.580078	0.719009	0.908103	0.988253	0.998397	1
1.3	0	0.00780313	0.0661906	0.254153	0.393691	0.612762	0.645878	0.669516	0.676238	0.681041	0.701706	0.711666	0.719772	0.718053	0.681047	0.472694	0.313438	0.294666	0.292331	0.348519	0.370053	0.388437	0.389625	0.442594	0.622237	0.716375	0.744853	0.759825	0.763988	0.759588	0.746025	0.732591	0.698597	0.626494	0.520903	0.428388	0.295047	0.173997	0.157831	0.153191	0.142728	0.134097	0.131031	0.130288	0.129956	0.131341	0.135563	0.140172	0.181647	0.324384	0.412356	0.470228	0.535838	0.560681	0.604272	0.683053	0.772797	0.828066	0.877369	0.934572	0.993344	0.9971	0.997319	1
1.4	0	0.00394687	0.00386563	0.00372813	0.00922813	0.0601594	0.119419	0.23075	0.406719	0.518922	0.645088	0.749663	0.93755	0.993556	0.996209	0.995622	0.993419	0.963588	0.890988	0.829309	0.75005	0.707466	0.6333	0.488275	0.378866	0.334441	0.292653	0.262022	0.240184	0.235863	0.235209	0.237969	0.252944	0.283619	0.317244	0.343947	0.384272	0.461053	0.668366	0.920141	0.975681	0.985603	0.983662	0.959897	0.902756	0.8547	0.750753	0.576556	0.299694	0.0801844	0.012175	0.005325	0.00439063	0.004925	0.0131438	0.0844688	0.183606	0.419569	0.590409	0.704078	0.877028	0.958284	0.9935	1
1.5	0	0.00765313	0.0162406	0.0872938	0.248431	0.369306	0.520997	0.615081	0.649028	0.667063	0.723634	0.778834	0.797991	0.801556	0.801888	0.809756	0.805897	0.8077	0.822663	0.831034	0.829647	0.785531	0.678956	0.564569	0.489897	0.42785	0.384159	0.380263	0.396694	0.414956	0.473556	0.463453	0.460134	0.463678	0.457519	0.453369	0.455538	0.474809	0.549628	0.576434	0.559034	0.441334	0.333075	0.2672	0.2303	0.201678	0.165922	0.134097	0.0726813	0.0433719	0.0159813	0.0175781	0.08495	0.226144	0.367281	0.486181	0.556322	0.656831	0.841322	0.976813	0.992428	0.993278	0.993509	1
1.6	0	0.00915938	0.0215719	0.0702438	0.152209	0.255106	0.3755	0.436522	0.536869	0.63155	0.662997	0.6778	0.685088	0.691937	0.700328	0.708325	0.709638	0.693244	0.661869	0.64365	0.636344	0.633922	0.610334	0.578903	0.544231	0.521072	0.516081	0.5156	0.513366	0.502275	0.494175	0.483319	0.475447	0.467053	0.459634	0.457291	0.460266	0.458716	0.452906	0.457909	0.464628	0.468322	0.455372	0.430947	0.404569	0.361328	0.324903	0.298066	0.276478	0.271375	0.275088	0.285675	0.301262	0.316175	0.359466	0.435869	0.587334	0.705313	0.772259	0.823525	0.896416	0.944859	0.978322	1
1.7	0	0.0184156	0.0502625	0.107369	0.164341	0.235259	0.316928	0.373338	0.413566	0.45845	0.502088	0.534691	0.556141	0.583163	0.604791	0.622272	0.644509	0.660084	0.671422	0.687678	0.694209	0.695906	0.698069	0.694122	0.678078	0.675059	0.678503	0.71565	0.755569	0.765909	0.750703	0.715056	0.673491	0.646178	0.624231	0.607119	0.591994	0.562672	0.527953	0.4826	0.438897	0.373969	0.284294	0.200606	0.152897	0.103472	0.0403469	0.0193563	0.0332219	0.0675219	0.154844	0.245628	0.318109	0.392972	0.466506	0.564428	0.639663	0.682034	0.736541	0.806763	0.893631	0.961756	0.984706	1
1.8	0	0.0209844	0.0265375	0.0322563	0.0613719	0.12195	0.172563	0.223075	0.273069	0.379922	0.523447	0.655497	0.738659	0.7994	0.852681	0.8947	0.919606	0.882041	0.81885	0.752306	0.685747	0.648925	0.630722	0.614622	0.596353	0.577616	0.556975	0.520497	0.491731	0.467781	0.446362	0.4237	0.402869	0.389638	0.382719	0.374366	0.374262	0.382703	0.391572	0.388619	0.382656	0.379369	0.369013	0.352084	0.323506	0.285438	0.284378	0.301841	0.327347	0.358434	0.384772	0.409428	0.436253	0.480369	0.530591	0.595222	0.673416	0.757716	0.806028	0.847175	0.891759	0.948047	0.978466	1
1.9	0	0.103734	0.223678	0.319381	0.361956	0.393106	0.421159	0.471591	0.52285	0.567709	0.599522	0.616869	0.628175	0.636531	0.648609	0.675278	0.707731	0.735122	0.745175	0.748616	0.740259	0.72185	0.698469	0.662309	0.621894	0.592066	0.570056	0.555522	0.541856	0.523722	0.503716	0.485403	0.465444	0.431384	0.395769	0.3593	0.329172	0.301013	0.274694	0.230278	0.199391	0.179178	0.163472	0.149906	0.143272	0.138094	0.132378	0.127753	0.145191	0.181475	0.258097	0.36285	0.477166	0.584694	0.676497	0.744847	0.799272	0.838184	0.860841	0.886466	0.908656	0.944366	0.966987	1
