T	E_media	Cv	M_bot	M_top	Chi_bot	Chi_top
1	-1.69763	0.0652371	0.0383943	-0.0383943	0.00381813	0.00381813
1.1	-1.72149	0.0892257	0.0461228	-0.0461228	0.012783	0.012783
1.2	-1.7465	0.110506	0.017544	-0.017544	0.0131983	0.0131983
1.3	-1.74847	0.148735	0.0496491	-0.0496491	0.00369769	0.00369769
1.4	-1.75475	0.146749	-0.0113142	0.0113142	0.0140447	0.0140447
1.5	-1.74964	0.161304	-0.024937	0.024937	0.0122809	0.0122809
1.6	-1.73774	0.227378	0.0228953	-0.0228953	0.0326305	0.0326305
1.7	-1.70746	0.393531	0.0596937	-0.0596937	0.0114666	0.0114666
1.8	-1.66102	0.411204	0.0260395	-0.0260395	0.0115386	0.0115386
1.9	-1.6137	0.361179	0.0918553	-0.0918553	0.0321139	0.0321139
2	-1.56307	0.439181	-0.000647217	0.000647217	0.0266302	0.0266302
2.1	-1.4815	0.318843	-0.0368846	0.0368846	0.0560152	0.0560152
2.2	-1.40149	0.52693	-0.0413036	0.0413036	0.0346558	0.0346558
2.3	-1.32408	0.627404	0.00495771	-0.00495771	0.159694	0.159694
2.4	-1.21746	0.994246	0.0251682	-0.0251682	0.040758	0.040758
2.5	-1.12049	0.740055	-0.00163765	0.00163765	0.0406032	0.0406032
2.6	-1.04654	0.776073	-0.0230345	0.0230345	0.070033	0.070033
2.7	-0.97642	0.384582	0.0386984	-0.0386984	0.0431682	0.0431682
2.8	-0.926074	0.382633	-0.0334572	0.0334572	0.0759026	0.0759026
2.9	-0.870532	0.344688	0.013698	-0.013698	0.170024	0.170024
3	-0.826015	0.34118	0.0420667	-0.0420667	0.0523112	0.0523112
3.1	-0.794635	0.284503	0.0317886	-0.0317886	0.115313	0.115313
3.2	-0.753948	0.353526	0.0356563	-0.0356563	0.0408827	0.0408827
3.3	-0.729959	0.328132	0.0374826	-0.0374826	0.0704012	0.0704012
3.4	-0.7014	0.262471	0.0259468	-0.0259468	0.069612	0.069612
3.5	-0.669184	0.249914	0.026644	-0.026644	0.0318803	0.0318803
3.6	-0.646037	0.227141	0.0388718	-0.0388718	0.0652698	0.0652698
3.7	-0.624804	0.195017	0.0196101	-0.0196101	0.0314556	0.0314556
3.8	-0.606175	0.176572	0.0420633	-0.0420633	0.0550043	0.0550043
3.9	-0.586156	0.223537	0.0269191	-0.0269191	0.0396503	0.0396503
