1	0	0.0181563	0.14537	0.437236	0.749755	0.955855	0.96412	0.976677	0.991711	0.966542	0.903028	0.87755	0.817186	0.805297	0.753666	0.704972	0.662473	0.645247	0.567031	0.546355	0.594464	0.592367	0.60235	0.610247	0.661355	0.653014	0.633428	0.656227	0.691963	0.744278	0.770109	0.769734	0.77645	0.701362	0.694959	0.694367	0.708931	0.767284	0.852713	0.866216	0.86378	0.808684	0.809166	0.784713	0.770181	0.757994	0.723361	0.719139	0.711491	0.703098	0.681345	0.565402	0.649377	0.67462	0.676267	0.690517	0.73247	0.76097	0.727723	0.678261	0.658248	0.614603	0.614695	0.584095	0.5685	0.585003	0.6013	0.674364	0.673212	0.681312	0.670498	0.676947	0.67503	0.676683	0.689911	0.712998	0.754092	0.850194	0.825098	0.815009	0.811378	0.799808	0.812142	0.754716	0.741706	0.727184	0.696142	0.686886	0.685442	0.673539	0.668745	0.69492	0.71652	0.686298	0.639903	0.628919	0.559416	0.556658	0.560763	0.587959	0.612125	0.667934	0.808356	0.843419	0.843591	0.850344	0.860564	0.865219	0.821123	0.768053	0.694708	0.693723	0.657338	0.595658	0.4958	0.428422	0.387955	0.408822	0.491605	0.599431	0.641244	0.719248	0.854598	0.863045	0.889516	0.959222	0.971055	1
1.1	0	0.0170391	0.124792	0.325248	0.644534	0.776931	0.825514	0.854991	0.922408	0.925797	0.926473	0.937333	0.913692	0.802216	0.758677	0.740359	0.716453	0.67582	0.646014	0.614844	0.619381	0.647572	0.680411	0.646373	0.675252	0.691123	0.697195	0.668364	0.690031	0.662195	0.687405	0.700719	0.679283	0.649759	0.631127	0.625072	0.627973	0.6866	0.821483	0.865802	0.867658	0.849977	0.767306	0.74263	0.72255	0.708673	0.694377	0.685708	0.6819	0.685786	0.683781	0.713403	0.680511	0.641323	0.643914	0.625323	0.643206	0.66597	0.65933	0.618172	0.624503	0.646919	0.708852	0.722672	0.719672	0.762523	0.805538	0.839509	0.856909	0.857031	0.797897	0.740278	0.69485	0.678369	0.672398	0.617436	0.618152	0.619347	0.578792	0.574805	0.604405	0.642223	0.699578	0.769631	0.83437	0.853239	0.853173	0.852775	0.828541	0.808122	0.781525	0.747528	0.744725	0.761706	0.728377	0.627231	0.596278	0.582406	0.59455	0.677342	0.713358	0.761744	0.768394	0.755972	0.749817	0.742947	0.736973	0.729255	0.728058	0.739348	0.733677	0.714377	0.625988	0.589673	0.556492	0.488005	0.463856	0.460061	0.469203	0.520841	0.630695	0.776494	0.854495	0.873852	0.946155	0.966095	0.997806	1
1.2	0	0.00125313	0.00154844	0.0223094	0.0873125	0.373717	0.661458	0.866806	0.963088	0.996372	0.99832	0.998164	0.997589	0.987594	0.977186	0.949517	0.9142	0.895853	0.875875	0.88103	0.887394	0.886669	0.850328	0.792452	0.714186	0.68823	0.670689	0.654558	0.648853	0.647331	0.648217	0.640797	0.641169	0.637855	0.638708	0.657667	0.689156	0.695055	0.719239	0.740278	0.655488	0.598919	0.614169	0.615213	0.6397	0.659325	0.66735	0.68463	0.731177	0.741153	0.75543	0.764905	0.791955	0.775208	0.647006	0.598477	0.574834	0.563414	0.569497	0.596103	0.663116	0.698842	0.701867	0.683663	0.679527	0.72442	0.760702	0.795775	0.819048	0.861975	0.85562	0.831922	0.8282	0.834013	0.830584	0.822613	0.881258	0.89185	0.854456	0.779388	0.697698	0.649398	0.618492	0.581161	0.540353	0.5225	0.519017	0.530445	0.540805	0.58223	0.633967	0.755052	0.797973	0.887811	0.878911	0.817927	0.766206	0.756519	0.719058	0.699713	0.681028	0.655794	0.599927	0.565834	0.554025	0.525091	0.515147	0.551941	0.615086	0.677202	0.710472	0.710728	0.66335	0.660491	0.684969	0.65692	0.634278	0.617881	0.617691	0.628998	0.670311	0.71072	0.798489	0.860528	0.943292	0.973975	0.98135	1
1.3	0	0.00482969	0.0207641	0.106731	0.293531	0.411675	0.57047	0.76372	0.834913	0.895955	0.95592	0.990917	0.996927	0.98943	0.966167	0.956189	0.946725	0.924927	0.849525	0.760977	0.708058	0.671386	0.653816	0.648298	0.645309	0.648159	0.651958	0.67593	0.743169	0.758556	0.764978	0.771863	0.795722	0.824334	0.853939	0.852623	0.781536	0.681414	0.645827	0.630464	0.615858	0.605073	0.594606	0.579148	0.557194	0.561997	0.572703	0.60203	0.612302	0.635945	0.650409	0.648456	0.672952	0.721866	0.769123	0.811405	0.824897	0.829611	0.837611	0.826764	0.788134	0.769088	0.756109	0.746219	0.734712	0.711092	0.665777	0.655475	0.647134	0.645369	0.640373	0.630891	0.617109	0.619772	0.640281	0.652713	0.629145	0.656058	0.703228	0.714256	0.730631	0.747702	0.767128	0.753447	0.709169	0.687869	0.678925	0.654095	0.644875	0.647628	0.681361	0.704967	0.739225	0.765038	0.768958	0.763391	0.757541	0.759567	0.746738	0.727044	0.712298	0.711833	0.705803	0.713342	0.701138	0.707695	0.682856	0.639992	0.627384	0.624683	0.609891	0.589137	0.586186	0.591017	0.602527	0.613369	0.623752	0.66532	0.73402	0.777875	0.798933	0.816431	0.842753	0.879261	0.901095	0.935747	0.971409	1
1.4	0	0.00477188	0.0361156	0.150869	0.284881	0.387598	0.489366	0.558609	0.631622	0.689609	0.753428	0.822217	0.868695	0.906641	0.947173	0.945081	0.91245	0.878802	0.852353	0.829675	0.817817	0.814869	0.816725	0.818195	0.809003	0.797594	0.816214	0.821484	0.809577	0.799441	0.822436	0.827498	0.831825	0.825245	0.825792	0.820497	0.820239	0.792581	0.729436	0.704267	0.629939	0.569744	0.550589	0.531763	0.516594	0.52518	0.544647	0.548539	0.548536	0.555381	0.567372	0.560223	0.573767	0.629741	0.708216	0.740184	0.764281	0.817042	0.863434	0.880725	0.884247	0.882716	0.878719	0.867819	0.851817	0.843861	0.829948	0.793605	0.782637	0.756372	0.726883	0.67887	0.647858	0.62342	0.608302	0.593183	0.577378	0.547645	0.513772	0.500633	0.503342	0.509961	0.524859	0.555625	0.62983	0.685845	0.712114	0.756144	0.766509	0.758408	0.742058	0.745605	0.763869	0.787136	0.795141	0.799556	0.817795	0.839839	0.830244	0.804195	0.791467	0.788169	0.78875	0.787369	0.781422	0.765863	0.709528	0.633622	0.56623	0.555291	0.559038	0.554577	0.563861	0.569281	0.569998	0.571253	0.58557	0.620681	0.665066	0.701889	0.726305	0.759139	0.79908	0.861023	0.935464	0.983994	0.993284	1
1.5	0	0.0178281	0.0686469	0.125325	0.191753	0.272767	0.41727	0.575627	0.76593	0.88715	0.954459	0.984558	0.992041	0.993289	0.99273	0.992742	0.992991	0.993295	0.990128	0.976741	0.955203	0.921706	0.883672	0.826747	0.768161	0.711516	0.67443	0.651775	0.634864	0.614992	0.583462	0.574609	0.587322	0.616519	0.633511	0.655461	0.680845	0.69797	0.712202	0.718163	0.720673	0.720284	0.723463	0.737844	0.758322	0.784898	0.806709	0.84305	0.8736	0.848541	0.809052	0.779102	0.754383	0.737575	0.717359	0.701362	0.681444	0.652608	0.643513	0.654794	0.65087	0.612286	0.58675	0.584528	0.60397	0.63093	0.658564	0.66417	0.661797	0.648319	0.631269	0.605752	0.576147	0.560356	0.552133	0.548027	0.543019	0.557936	0.589714	0.623094	0.645486	0.665547	0.685097	0.712406	0.73615	0.759387	0.780661	0.810961	0.857127	0.881075	0.889113	0.882941	0.873103	0.855119	0.844655	0.835342	0.809191	0.755308	0.730736	0.679778	0.643437	0.627384	0.607667	0.579512	0.553089	0.529027	0.494538	0.456175	0.429005	0.423452	0.426025	0.442408	0.499219	0.580322	0.634331	0.683492	0.756613	0.812242	0.844636	0.876317	0.919738	0.93328	0.937406	0.94727	0.967238	0.988278	0.993677	1
1.6	0	0.0221984	0.0664187	0.112091	0.196627	0.307725	0.465786	0.642491	0.763269	0.829822	0.865406	0.891139	0.934755	0.968634	0.982628	0.990048	0.99133	0.992053	0.991644	0.991384	0.991056	0.989817	0.986172	0.979177	0.951747	0.885119	0.793103	0.713736	0.637519	0.572427	0.534106	0.508584	0.496237	0.487892	0.491058	0.499931	0.516375	0.545259	0.575798	0.598027	0.607708	0.610252	0.604764	0.604575	0.615198	0.640225	0.689988	0.748059	0.789672	0.830275	0.857191	0.859791	0.858638	0.847706	0.816238	0.784105	0.767309	0.750812	0.737106	0.725614	0.719533	0.723264	0.726673	0.75117	0.775005	0.801548	0.810492	0.769934	0.714175	0.668934	0.627936	0.604161	0.597364	0.591691	0.595403	0.596581	0.586484	0.582639	0.56902	0.551412	0.550147	0.554834	0.570992	0.588491	0.607342	0.626011	0.642852	0.676453	0.699709	0.719433	0.73947	0.777817	0.818261	0.852034	0.878252	0.90237	0.935316	0.947272	0.930038	0.901752	0.864972	0.837997	0.81155	0.771266	0.736113	0.693941	0.648445	0.605705	0.572559	0.555844	0.539486	0.524313	0.49988	0.480223	0.496836	0.5376	0.563019	0.586027	0.618127	0.650016	0.69567	0.765359	0.86142	0.938531	0.981033	0.988795	0.990756	1
1.7	0	0.0349016	0.0824078	0.151277	0.209173	0.278377	0.375994	0.495486	0.642264	0.794091	0.903775	0.952814	0.970588	0.981855	0.984745	0.983423	0.977723	0.965267	0.936739	0.892783	0.826466	0.738237	0.680659	0.642852	0.616633	0.596748	0.587013	0.585669	0.600159	0.622464	0.647288	0.678467	0.689422	0.687898	0.682309	0.682278	0.692362	0.701064	0.705234	0.703769	0.695391	0.678584	0.675405	0.664781	0.673722	0.708636	0.746941	0.769988	0.775173	0.766742	0.761222	0.754545	0.742811	0.736973	0.730341	0.730106	0.732611	0.734464	0.73155	0.724206	0.711902	0.707752	0.712845	0.732783	0.764881	0.79472	0.816011	0.832066	0.839722	0.847834	0.849011	0.849984	0.851187	0.846005	0.833877	0.815234	0.784767	0.739069	0.69652	0.697631	0.715534	0.715458	0.710416	0.700302	0.684647	0.672642	0.659438	0.653081	0.649316	0.647134	0.645814	0.646966	0.656509	0.67815	0.697545	0.704844	0.700919	0.694311	0.708327	0.695355	0.665086	0.640091	0.623191	0.602513	0.578131	0.545342	0.514719	0.492212	0.478911	0.476305	0.480161	0.49098	0.507195	0.532778	0.57243	0.632141	0.705642	0.77508	0.815813	0.854688	0.897213	0.946688	0.968703	0.976922	0.982092	0.984338	0.986827	1
1.8	0	0.0154594	0.0196969	0.0350469	0.0849078	0.180353	0.310898	0.43098	0.546847	0.6436	0.738727	0.804903	0.853798	0.893866	0.924527	0.943734	0.948503	0.946375	0.945095	0.942689	0.936105	0.929778	0.923678	0.919075	0.915184	0.914123	0.912988	0.912483	0.905959	0.896077	0.886916	0.869058	0.836641	0.800248	0.767645	0.745953	0.73607	0.728711	0.703969	0.67168	0.656614	0.645147	0.640216	0.640245	0.64233	0.651759	0.670188	0.682527	0.695081	0.709384	0.728045	0.757405	0.799666	0.835489	0.848434	0.857659	0.856648	0.851853	0.834261	0.825006	0.823086	0.804733	0.780158	0.746061	0.67347	0.609311	0.552514	0.500809	0.47143	0.455855	0.446027	0.443066	0.437909	0.43493	0.430111	0.428348	0.438783	0.45162	0.465617	0.474295	0.490066	0.506109	0.527714	0.565675	0.62518	0.672019	0.698281	0.71473	0.731308	0.754556	0.782227	0.82285	0.870691	0.908858	0.939727	0.961645	0.96907	0.969111	0.960916	0.940623	0.894356	0.846742	0.78723	0.739881	0.699333	0.668348	0.644398	0.615698	0.596856	0.582572	0.565339	0.564309	0.57553	0.596895	0.60807	0.606634	0.608117	0.616633	0.640386	0.678186	0.745684	0.803306	0.856859	0.914991	0.95892	0.973502	0.982992	1
1.9	0	0.0261922	0.0429094	0.0756625	0.149083	0.265452	0.386894	0.519245	0.635656	0.723455	0.802953	0.860603	0.914981	0.955384	0.966645	0.971522	0.972763	0.973389	0.973205	0.970495	0.971116	0.968753	0.955453	0.924394	0.873048	0.824798	0.781794	0.728859	0.694081	0.669433	0.654272	0.648267	0.647961	0.652017	0.660441	0.669356	0.674911	0.680416	0.681312	0.679595	0.67427	0.670419	0.669636	0.681003	0.702245	0.731133	0.752045	0.761823	0.763884	0.759013	0.745539	0.726722	0.709453	0.706881	0.716211	0.731328	0.745941	0.758664	0.776877	0.79223	0.791903	0.777455	0.749819	0.712941	0.679053	0.663683	0.651275	0.651587	0.652188	0.647802	0.642275	0.643244	0.643297	0.649248	0.656084	0.656169	0.647909	0.641156	0.636039	0.634605	0.643291	0.655764	0.660817	0.667687	0.674377	0.665375	0.6545	0.63808	0.618703	0.587366	0.557519	0.529277	0.512975	0.509389	0.51637	0.535239	0.571352	0.62242	0.676338	0.715956	0.741127	0.761216	0.779183	0.798755	0.81542	0.806617	0.802402	0.795239	0.795886	0.793119	0.785253	0.776986	0.763292	0.7384	0.708531	0.685403	0.670227	0.666166	0.672	0.693312	0.721319	0.763569	0.832733	0.902706	0.947452	0.966375	0.976267	1
