T	E_media	Cv	M_bot	M_top	Chi_bot	Chi_top
1	-1.72824	0.0505897	0.417565	0.35848	0.00488864	0.0115783
1.1	-1.75195	0.0792526	0.433035	0.321841	0.00492322	0.0116603
1.2	-1.76302	0.209869	0.41029	0.375711	0.00687932	0.0162931
1.3	-1.78024	0.120481	0.405116	0.387965	0.00351597	0.0083273
1.4	-1.77482	0.105784	0.399213	0.401947	0.0112616	0.0266722
1.5	-1.77703	0.170278	0.416523	0.360949	0.0230665	0.0546312
1.6	-1.74247	0.296235	0.422596	0.346567	0.0246618	0.0584096
1.7	-1.72823	0.215131	0.445109	0.293246	0.0103812	0.0245871
1.8	-1.69343	0.314667	0.396775	0.407721	0.0209566	0.0496341
1.9	-1.64113	0.209575	0.416349	0.361361	0.021599	0.0511554
2	-1.58815	0.370749	0.383995	0.437989	0.020104	0.0476147
2.1	-1.54714	0.558379	0.44134	0.302171	0.061958	0.146743
2.2	-1.42507	0.736134	0.389854	0.424113	0.0275933	0.0653525
2.3	-1.31876	0.520686	0.381805	0.443175	0.0405183	0.0959644
2.4	-1.25843	0.464552	0.428657	0.332211	0.0405188	0.0959656
2.5	-1.19347	0.330506	0.421805	0.348438	0.034643	0.0820493
2.6	-1.11663	0.466704	0.422043	0.347874	0.0240961	0.0570697
2.7	-1.06253	0.244384	0.427825	0.334181	0.0697981	0.165311
2.8	-1.01237	0.347629	0.423391	0.344683	0.0580361	0.137454
2.9	-0.983765	0.296773	0.45599	0.267474	0.0520595	0.123299
3	-0.946926	0.267021	0.435664	0.315615	0.171554	0.406313
3.1	-0.917154	0.254824	0.404321	0.389849	0.0421444	0.0998157
3.2	-0.893767	0.2427	0.425304	0.340151	0.01642	0.0388896
3.3	-0.870148	0.272967	0.439469	0.306604	0.024711	0.0585261
3.4	-0.845552	0.190538	0.413949	0.367046	0.0390247	0.092427
3.5	-0.826922	0.195006	0.411235	0.373474	0.0638897	0.151318
3.6	-0.811127	0.164126	0.415406	0.363593	0.0309696	0.073349
3.7	-0.792095	0.149169	0.420773	0.350882	0.0190249	0.0450591
3.8	-0.778146	0.141455	0.419798	0.353193	0.0229728	0.0544092
3.9	-0.7619	0.154208	0.421221	0.349822	0.0214753	0.0508625
