1	0	0.00026875	0.00165625	0.141381	0.36715	0.453581	0.581656	0.625619	0.636969	0.653863	0.658944	0.608063	0.612956	0.566706	0.508938	0.496388	0.495969	0.356162	0.348794	0.337863	0.333775	0.324106	0.3346	0.378063	0.460688	0.512681	0.732469	0.750363	0.791131	0.929631	0.999569	1
1.1	0	0.00725625	0.01735	0.060575	0.175463	0.285244	0.314575	0.327563	0.46375	0.599725	0.635844	0.6857	0.76025	0.762919	0.758463	0.748938	0.711438	0.687931	0.64945	0.561213	0.547494	0.521813	0.511281	0.485019	0.477194	0.473144	0.483294	0.497181	0.517331	0.569444	0.703163	1
1.2	0	0.0578437	0.164388	0.220037	0.289075	0.336244	0.364456	0.386713	0.407888	0.42875	0.439781	0.446088	0.446088	0.444888	0.446581	0.4508	0.457962	0.476481	0.477869	0.481525	0.487569	0.504363	0.524012	0.5583	0.58435	0.612631	0.690238	0.832244	0.985944	0.998006	0.998888	1
1.3	0	0.0016875	0.0018875	0.00230625	0.03175	0.162656	0.344019	0.392544	0.439856	0.461619	0.477438	0.490238	0.533262	0.5565	0.582388	0.588344	0.591906	0.592125	0.587419	0.579462	0.567388	0.572856	0.58815	0.610944	0.621619	0.635275	0.650756	0.672212	0.745513	0.925206	0.992675	1
1.4	0	0.112662	0.2125	0.317969	0.369669	0.388775	0.408388	0.42445	0.441831	0.467044	0.488425	0.504463	0.519437	0.51755	0.496488	0.481781	0.467431	0.459756	0.453938	0.440669	0.438563	0.435856	0.428419	0.434081	0.462894	0.551156	0.683163	0.767906	0.877625	0.952425	0.994688	1
1.5	0	0.00535	0.0051875	0.00966875	0.0176375	0.0446438	0.174138	0.424669	0.670138	0.893906	0.964213	0.990481	0.991731	0.986406	0.960856	0.848781	0.734844	0.604688	0.545444	0.474681	0.406331	0.340219	0.3052	0.299244	0.310631	0.328856	0.364919	0.401781	0.479544	0.598588	0.817225	1
1.6	0	0.0149938	0.07845	0.128513	0.22595	0.282587	0.306481	0.341725	0.386819	0.436506	0.470506	0.503406	0.525713	0.538544	0.535475	0.529181	0.517356	0.506012	0.508506	0.5119	0.515644	0.523531	0.5359	0.554825	0.597006	0.646544	0.703313	0.778288	0.872006	0.945231	0.979087	1
1.7	0	0.0177687	0.0193688	0.0241937	0.0288938	0.0317375	0.0475813	0.121031	0.2391	0.3565	0.455175	0.518544	0.560469	0.590606	0.616356	0.631056	0.639463	0.645288	0.647244	0.640494	0.620069	0.608394	0.601775	0.604356	0.623431	0.660475	0.745125	0.832794	0.9241	0.969331	0.979281	1
1.8	0	0.0281688	0.0433313	0.0520063	0.0899313	0.180475	0.27045	0.327119	0.371213	0.4003	0.427438	0.451663	0.49235	0.514725	0.553656	0.569213	0.581694	0.595694	0.594594	0.596019	0.593944	0.593681	0.586606	0.602075	0.627763	0.656756	0.704525	0.782406	0.853925	0.902594	0.955688	1
1.9	0	0.0207563	0.02535	0.0240563	0.023725	0.0264312	0.0272	0.0263188	0.0331063	0.040025	0.0580375	0.0983875	0.172588	0.284137	0.389125	0.489919	0.58565	0.693044	0.76795	0.828406	0.8757	0.913463	0.941356	0.949356	0.952769	0.95285	0.955906	0.952069	0.956331	0.961769	0.974219	1
2	0	0.0296	0.0366438	0.0386875	0.0400187	0.0432	0.0443313	0.044275	0.0495688	0.0669	0.0975312	0.157856	0.2246	0.2918	0.346612	0.398619	0.46575	0.563213	0.707019	0.835037	0.909519	0.936256	0.951425	0.956619	0.958075	0.962075	0.965519	0.964613	0.966456	0.97245	0.975731	1
2.1	0	0.0351188	0.0426188	0.045625	0.0469188	0.0484	0.0534937	0.0556563	0.0560938	0.0584813	0.0573063	0.0583563	0.0661063	0.0985938	0.176025	0.352388	0.574569	0.743588	0.871138	0.936013	0.949763	0.9483	0.950031	0.961512	0.964644	0.9684	0.971138	0.974713	0.977025	0.977006	0.980981	1
2.2	0	0.0397	0.0502375	0.0556063	0.0570625	0.06145	0.071675	0.0855875	0.0902375	0.112163	0.141369	0.199406	0.291794	0.392738	0.466588	0.534025	0.579531	0.613287	0.653	0.71685	0.791144	0.838331	0.883	0.888669	0.882131	0.893275	0.903131	0.909131	0.919738	0.929262	0.949881	1
2.3	0	0.0543188	0.0804438	0.10035	0.119881	0.144025	0.159594	0.171488	0.200969	0.253031	0.318056	0.399275	0.464656	0.529769	0.569438	0.588225	0.596087	0.597219	0.607681	0.618169	0.627581	0.628113	0.6502	0.681875	0.724081	0.7646	0.800606	0.839894	0.878038	0.902006	0.930331	1
2.4	0	0.0874875	0.127225	0.144369	0.150619	0.161963	0.17465	0.188731	0.201419	0.21395	0.220963	0.239256	0.27775	0.300306	0.331481	0.386738	0.49315	0.615869	0.710694	0.784231	0.824613	0.837675	0.844063	0.839688	0.824306	0.810319	0.800363	0.80245	0.830756	0.862863	0.912056	1
2.5	0	0.100788	0.179131	0.249762	0.305706	0.352225	0.38945	0.425863	0.4535	0.464044	0.465506	0.455919	0.448169	0.433306	0.430825	0.428975	0.429588	0.435681	0.441844	0.459038	0.484013	0.514969	0.552813	0.607463	0.669675	0.711338	0.748019	0.779269	0.817631	0.858556	0.906938	1
