T	E_media	Cv	M_bot	M_top	Chi_bot	Chi_top
1	-1.69549	0.0861825	0.0979975	-0.0979975	0.00412133	0.00412133
1.1	-1.72403	0.0806034	0.0320645	-0.0320645	0.00299156	0.00299156
1.2	-1.73018	0.104731	0.0122572	-0.0122572	0.0118714	0.0118714
1.3	-1.75267	0.155041	-0.0435846	0.0435846	0.0230411	0.0230411
1.4	-1.7316	0.207593	0.0532484	-0.0532484	0.0282797	0.0282797
1.5	-1.72802	0.174492	-0.0907236	0.0907236	0.0199302	0.0199302
1.6	-1.71589	0.218271	0.00792324	-0.00792324	0.0236769	0.0236769
1.7	-1.70552	0.200405	-0.0451	0.0451	0.100267	0.100267
1.8	-1.6763	0.3363	0.0118783	-0.0118783	0.047328	0.047328
1.9	-1.594	0.401936	-0.0839947	0.0839947	0.0370955	0.0370955
2	-1.58317	0.572915	0.00963848	-0.00963848	0.105896	0.105896
2.1	-1.50436	0.327741	-0.118965	0.118965	0.111861	0.111861
2.2	-1.41035	0.523342	0.092784	-0.092784	0.0447737	0.0447737
2.3	-1.29006	0.553485	0.0767035	-0.0767035	0.151504	0.151504
2.4	-1.23453	0.430981	0.173648	-0.173648	0.0859438	0.0859438
2.5	-1.12994	0.408515	0.0743951	-0.0743951	0.0812778	0.0812778
2.6	-1.04283	0.518567	0.0425955	-0.0425955	0.143692	0.143692
2.7	-0.983226	0.563232	0.166018	-0.166018	0.130832	0.130832
2.8	-0.956377	0.500436	0.20379	-0.20379	0.22745	0.22745
2.9	-0.898163	0.408265	0.00472051	-0.00472051	0.203173	0.203173
3	-0.852626	0.287918	0.0497656	-0.0497656	0.62531	0.62531
3.1	-0.790865	0.313219	0.0559508	-0.0559508	0.1036	0.1036
3.2	-0.771574	0.281835	0.0633572	-0.0633572	0.128752	0.128752
3.3	-0.743172	0.310423	0.114549	-0.114549	0.17188	0.17188
3.4	-0.708142	0.254453	0.0932221	-0.0932221	0.0984248	0.0984248
3.5	-0.678385	0.243186	0.0590135	-0.0590135	0.0702196	0.0702196
3.6	-0.661399	0.214877	0.0935641	-0.0935641	0.0911874	0.0911874
3.7	-0.635425	0.211983	0.0427029	-0.0427029	0.0691956	0.0691956
3.8	-0.618628	0.184815	0.0585844	-0.0585844	0.110188	0.110188
3.9	-0.598197	0.178301	0.0606596	-0.0606596	0.0902597	0.0902597
