T	E_media	Cv	M_bot	M_top	Chi_bot	Chi_top
1	-1.74136	0.0376905	0.704201	-0.267991	0.0134969	0.0296933
1.1	-1.76941	0.0748848	0.540012	0.0932238	0.0191028	0.0420263
1.2	-1.72021	0.110892	0.566845	0.03419	0.024314	0.0534909
1.3	-1.756	0.0803904	0.666535	-0.185128	0.00844713	0.0185837
1.4	-1.69995	0.262326	0.484605	0.215119	0.0259588	0.0571093
1.5	-1.68986	0.187091	0.522115	0.132596	0.0573159	0.126095
1.6	-1.678	0.292919	0.657394	-0.165018	0.0425758	0.0936668
1.7	-1.62731	0.318477	0.500336	0.180511	0.110751	0.243652
1.8	-1.72047	0.296098	0.851234	-0.591465	0.248738	0.547225
1.9	-1.68929	0.30679	0.892532	-0.682321	0.0436783	0.0960923
2	-1.61635	0.563093	0.879386	-0.653399	0.167225	0.367896
2.1	-1.5905	0.277862	0.832685	-0.550656	0.253509	0.557719
2.2	-1.44873	0.303561	0.788681	-0.453849	0.107898	0.237376
2.3	-1.32856	0.914082	0.669452	-0.191545	0.718209	1.58006
2.4	-1.24059	0.45811	0.607892	-0.0561125	0.473122	1.04087
2.5	-1.20327	0.618875	0.575332	0.01552	0.190556	0.419223
2.6	-1.14367	0.374192	0.603332	-0.0460813	0.0863878	0.190053
2.7	-1.14064	0.321368	0.606689	-0.0534663	0.169493	0.372884
2.8	-1.13408	0.42801	0.649683	-0.148053	0.342273	0.753
2.9	-1.02114	0.293294	0.539132	0.09516	0.177507	0.390515
3	-1.00954	0.306997	0.547915	0.0758375	0.169067	0.371947
3.1	-0.953983	0.253815	0.472588	0.241558	0.30903	0.679865
3.2	-0.927969	0.249006	0.484792	0.214707	0.155996	0.343191
3.3	-0.914292	0.206665	0.520809	0.13547	0.156508	0.344317
3.4	-0.884691	0.214407	0.470503	0.246144	0.140851	0.309872
3.5	-0.873123	0.17168	0.504181	0.172052	0.159181	0.350197
3.6	-0.850653	0.172167	0.503574	0.173387	0.145605	0.320331
3.7	-0.825482	0.144775	0.481946	0.220969	0.120521	0.265147
3.8	-0.808298	0.136969	0.465851	0.256379	0.12686	0.279093
3.9	-0.796829	0.133031	0.464336	0.259711	0.122629	0.269783
