0	1.26147e-08	2.5304e-14
0.2	2.42803e-06	1.27926e-08
0.4	1.10993e-05	2.68668e-07
0.6	0.00050052	9.9909e-06
0.8	0.0293555	0.000564938
1	0.915286	0.0279347
1.2	0.668389	0.0600068
1.4	0.715849	0.0678922
1.6	0.672935	0.0928763
1.8	0.725148	0.119834
2	0.839049	0.12961
2.2	0.951889	0.148642
2.4	0.998244	0.183894
2.6	0.906251	0.222775
2.8	1.10182	0.210877
3	0.907413	0.207774
3.2	1.01166	0.222565
3.4	1.04731	0.225062
3.6	0.944858	0.201684
3.8	0.964202	0.214594
4	1.00954	0.257781
4.2	0.989671	0.258297
4.4	1.06369	0.218335
4.6	0.9141	0.2206
4.8	0.972615	0.240048
5	0.9218	0.243807
5.2	1.03618	0.226984
5.4	0.971539	0.238858
5.6	1.0075	0.26453
5.8	0.975538	0.249603
6	0.870027	0.251472
6.2	0.9615	0.252005
6.4	0.961685	0.243416
6.6	0.998624	0.256584
6.8	1.0586	0.245106
7	0.929224	0.217093
7.2	1.08472	0.243032
7.4	0.836603	0.257918
7.6	1.01086	0.280132
7.8	0.890112	0.27896
8	0.976411	0.273599
8.2	1.08147	0.282632
8.4	0.905884	0.278263
8.6	0.926743	0.258853
8.8	0.996344	0.261773
9	1.04482	0.281905
9.2	1.0637	0.288155
9.4	0.847735	0.288797
9.6	1.05966	0.283206
9.8	0.950635	0.306572
10	0.979054	0.302098
10.2	0.975249	0.27541
10.4	0.929126	0.277712
10.6	0.95977	0.289794
10.8	1.08894	0.287039
11	0.969541	0.290431
11.2	0.993952	0.292681
11.4	0.951355	0.281094
11.6	0.997861	0.283533
11.8	0.987118	0.286682
12	0.975706	0.29193
12.2	0.937888	0.304015
12.4	0.907097	0.298389
12.6	0.960976	0.31214
12.8	1.00244	0.29854
13	1.00044	0.270637
13.2	0.913648	0.269668
13.4	0.993121	0.282921
13.6	1.06101	0.306599
13.8	1.07488	0.29592
14	0.874033	0.297748
14.2	0.948353	0.291875
14.4	0.966496	0.297728
14.6	1.00031	0.291971
14.8	1.00985	0.289734
15	0.974541	0.315882
15.2	0.878016	0.32476
15.4	0.922162	0.330876
15.6	0.960424	0.317589
15.8	0.9687	0.317795
16	1.10356	0.292442
16.2	0.906233	0.269537
16.4	0.919655	0.275951
16.6	0.975781	0.289095
16.8	0.998657	0.29438
17	1.02522	0.318213
17.2	0.995485	0.342722
17.4	0.866037	0.330289
17.6	0.958086	0.316987
17.8	1.05085	0.295156
18	1.04573	0.283017
18.2	0.930012	0.287486
