0	1.27705e-08	48.0001
0.2	2.57971e-06	48.0002
0.4	1.40482e-05	48.0001
0.6	0.00067469	47.9998
0.8	0.0427089	48.0015
1	0.796164	48.0859
1.2	0.784691	48.217
1.4	0.674905	48.5123
1.6	0.645074	48.6165
1.8	0.617129	48.3737
2	0.617493	48.3729
2.2	0.736362	48.485
2.4	0.694105	48.6266
2.6	0.680287	48.5944
2.8	0.720071	48.3792
3	0.825842	48.6548
3.2	0.9426	49.2674
3.4	0.936227	49.7604
3.6	0.999276	49.0653
3.8	1.03757	48.6043
4	0.912422	48.6361
4.2	0.828945	48.7852
4.4	1.07258	48.4604
4.6	0.997086	48.4382
4.8	1.0127	48.8233
5	0.948441	49.1224
5.2	0.880756	48.9815
5.4	1.05092	48.9342
5.6	1.01774	48.7796
5.8	0.900912	48.8951
6	1.0174	48.5729
6.2	1.03104	48.7799
6.4	0.994658	49.0757
6.6	0.857286	49.1748
6.8	1.00881	48.9544
7	0.952895	48.9295
7.2	1.05721	48.9255
7.4	0.946044	48.9434
7.6	0.97137	48.7069
7.8	1.00859	48.4262
8	0.959163	48.5173
8.2	0.975354	48.7057
8.4	1.06189	48.7758
8.6	0.966776	48.4288
8.8	1.01458	48.353
9	0.932229	48.7415
9.2	0.893588	48.9519
9.4	0.933578	48.7103
9.6	0.970732	48.8476
9.8	0.92751	49.0747
10	0.927152	49.222
10.2	1.13512	48.7756
10.4	0.933933	48.4596
10.6	0.980333	48.8155
10.8	1.01425	48.8953
11	1.00211	48.7073
11.2	1.06786	48.6273
11.4	1.02894	48.9117
11.6	0.988056	48.8936
11.8	0.927731	48.9647
12	0.931964	48.701
12.2	1.03711	48.6066
12.4	0.975343	48.9436
12.6	0.983187	49.0475
12.8	1.12507	48.6089
13	0.978168	48.5416
13.2	0.919036	48.8324
13.4	0.984545	48.6986
13.6	0.967653	48.6379
13.8	0.927834	48.66
14	1.08989	49.0033
14.2	0.91711	48.6353
14.4	0.984949	48.6683
14.6	0.956532	48.6401
14.8	0.954671	48.6943
15	0.976487	48.3583
15.2	1.00695	48.6712
15.4	0.980833	48.725
15.6	0.920994	48.7074
15.8	1.04465	48.4437
16	1.07491	48.4919
16.2	0.997806	48.7931
16.4	0.924331	48.5864
16.6	0.932214	48.3794
16.8	0.993725	48.6615
17	0.917832	49.3321
17.2	0.979048	49.0313
17.4	0.960346	48.788
17.6	0.930851	48.6477
17.8	1.05327	48.5876
18	0.935838	48.6257
18.2	0.954261	48.746
18.4	0.962468	48.9111
18.6	0.959509	48.849
18.8	0.994763	48.8751
19	1.02266	48.5776
19.2	0.889584	48.5333
19.4	0.925577	48.4688
19.6	1.02329	48.6156
19.8	1.01621	48.772
20	0.941996	48.8608
20.2	0.971464	48.9817
20.4	0.983932	48.9096
20.6	0.946637	48.7741
20.8	1.14118	48.6602
21	0.880576	48.627
21.2	0.878168	48.7033
21.4	1.03405	48.715
21.6	0.976442	48.7825
21.8	0.946091	48.8059
22	0.944533	48.9762
22.2	0.933911	49.0952
22.4	1.03793	48.7662
22.6	0.987423	48.837
22.8	0.950209	48.8368
