0.499938, 0.500056
0.499923, 1.50004
0.499983, 2.49996
0.499973, 3.49997
0.50002, 4.50004
0.499938, 5.50001
0.499962, 6.50001
0.500074, 7.50001
0.500032, 8.49998
0.500048, 9.50001
0.500029, 10.4999
0.500075, 11.5001
1.49999, 0.49999
1.50003, 1.49994
1.50007, 2.50009
1.49995, 3.50006
1.49991, 4.50005
1.50001, 5.5
1.49996, 6.49997
1.49998, 7.50006
1.49996, 8.49994
1.50007, 9.5001
1.49998, 10.5
1.49998, 11.5
2.49994, 0.499945
2.49997, 1.49996
2.5, 2.50009
2.49997, 3.5
2.49998, 4.50006
2.49996, 5.49993
2.49995, 6.50001
2.49998, 7.50008
2.50008, 8.50003
2.49993, 9.50006
2.4999, 10.5001
2.49992, 11.4999
3.49994, 0.50003
3.49993, 1.50003
3.49997, 2.49997
3.50006, 3.50006
3.49995, 4.49995
3.50003, 5.49993
3.5001, 6.50004
3.49995, 7.50009
3.49995, 8.50006
3.5, 9.4999
3.49999, 10.5
3.49998, 11.5001
4.50001, 0.500088
4.50002, 1.50001
4.5001, 2.50002
4.50008, 3.49992
4.49993, 4.50007
4.49992, 5.49998
4.49992, 6.50001
4.50003, 7.49996
4.4999, 8.50007
4.50008, 9.49998
4.49995, 10.5001
4.50002, 11.5
5.49993, 0.499999
5.50007, 1.49992
5.50008, 2.50004
5.49993, 3.5001
5.49993, 4.50009
5.49992, 5.5
5.49994, 6.50009
5.49996, 7.50009
5.49996, 8.49993
5.50003, 9.50006
5.49999, 10.5
5.50008, 11.4999
6.50004, 0.50005
6.4999, 1.49999
6.5, 2.49993
6.49991, 3.49996
6.50006, 4.49992
6.49994, 5.49998
6.50002, 6.50003
6.50001, 7.49994
6.5, 8.49996
6.50003, 9.49993
6.50001, 10.5001
6.49998, 11.4999
7.50006, 0.500078
7.50007, 1.49992
7.50005, 2.50003
7.49994, 3.49996
7.50008, 4.50003
7.49998, 5.49994
7.49995, 6.49996
7.5, 7.50006
7.50007, 8.49993
7.49994, 9.49993
7.5001, 10.5001
7.49992, 11.5
8.50008, 0.50008
8.50005, 1.4999
8.49993, 2.49991
8.49993, 3.50004
8.50001, 4.50005
8.50009, 5.49992
8.49992, 6.49994
8.50006, 7.49993
8.50009, 8.49996
8.5, 9.50009
8.49999, 10.5001
8.49999, 11.5
9.4999, 0.50003
9.50002, 1.50002
9.50006, 2.5001
9.49993, 3.49995
9.50003, 4.50007
9.50007, 5.5001
9.50002, 6.49992
9.49998, 7.49993
9.50006, 8.50005
9.4999, 9.49993
9.50004, 10.5001
9.49998, 11.5
10.5, 0.500041
10.5, 1.49995
10.5001, 2.49992
10.5001, 3.49998
10.4999, 4.49995
10.5, 5.50009
10.4999, 6.49998
10.4999, 7.50003
10.5001, 8.50007
10.5, 9.49997
10.5, 10.4999
10.5, 11.5
11.5001, 0.500059
11.5001, 1.50001
11.5001, 2.50004
11.4999, 3.50004
11.5, 4.50007
11.5, 5.50002
11.4999, 6.49991
11.5001, 7.49999
11.4999, 8.50003
11.4999, 9.50003
11.5, 10.5001
11.5, 11.5001

0.551839, 0.361605
0.320611, 1.37251
0.691671, 2.3603
0.306352, 3.35215
0.54875, 4.32393
0.538361, 5.34196
0.339742, 6.3453
0.587128, 7.33334
0.435898, 8.33428
0.452916, 9.33948
0.51243, 10.3438
0.430599, 11.3506
1.55758, 0.610788
1.3231, 1.60891
1.70474, 2.59288
1.28232, 3.56342
1.55578, 4.56627
1.54455, 5.5891
1.34103, 6.58751
1.59513, 7.57705
1.43896, 8.57957
1.45824, 9.5872
1.5173, 10.5928
1.43502, 11.5998
2.57055, 0.495296
2.32769, 1.5012
2.72022, 2.48086
2.29098, 3.45146
2.56944, 4.44988
2.55694, 5.47369
2.35153, 6.47495
2.60792, 7.46426
2.45107, 8.46623
2.47078, 9.47357
2.53, 10.4781
2.44729, 11.4842
3.58245, 0.527895
3.33875, 1.53451
3.73163, 2.51355
3.29995, 3.48307
3.58185, 4.48373
3.56827, 5.50677
3.36294, 6.50636
3.61895, 7.49428
3.46269, 8.49565
3.48174, 9.50318
3.5416, 10.5084
3.45864, 11.5157
4.59538, 0.471374
4.35119, 1.47758
4.73984, 2.46024
4.31297, 3.42456
4.5941, 4.42388
4.57972, 5.44651
4.37654, 6.44886
4.62939, 7.43928
4.47564, 8.44129
4.49361, 9.44904
4.55455, 10.4539
4.47082, 11.4604
5.60223, 0.648829
5.36353, 1.65147
5.72869, 2.61115
5.3241, 3.60316
5.60318, 4.60752
5.586, 5.62854
5.38766, 6.62994
5.6363, 7.61938
5.48602, 8.6218
5.5021, 9.62928
5.56409, 10.6337
5.47982, 11.6407
6.5991, 0.339289
6.36121, 1.34891
6.71602, 2.35302
6.34058, 3.31947
6.58896, 4.30185
6.58089, 5.3132
6.38647, 6.31698
6.62321, 7.31177
6.48343, 8.30898
6.49676, 9.31512
6.56003, 10.3202
6.47528, 11.3268
7.58556, 0.707586
7.37491, 1.68952
7.69479, 2.65745
7.32353, 3.65701
7.58748, 4.66962
7.56634, 5.68904
7.38361, 6.68759
7.61726, 7.68269
7.4743, 8.68702
7.48749, 9.69448
7.55112, 10.6987
7.4667, 11.7043
8.58609, 0.327669
8.35464, 1.33999
8.69588, 2.3453
8.34663, 3.32326
8.57317, 4.29408
8.56646, 5.30283
8.37756, 6.30729
8.60659, 7.30151
8.4729, 8.29837
8.4828, 9.30348
8.54795, 10.3083
8.4623, 11.3154
9.57575, 0.716691
9.3734, 1.69711
9.67679, 2.66143
9.3218, 3.66761
9.57902, 4.68126
9.55762, 5.69893
9.37843, 6.69826
9.60925, 7.69337
9.4678, 8.69871
9.48136, 9.70612
9.54411, 10.7103
9.4609, 11.7156
10.5722, 0.307161
10.3482, 1.32164
10.678, 2.33137
10.3462, 3.31169
10.5572, 4.27899
10.557, 5.28501
10.3671, 6.2898
10.5935, 7.28425
10.4614, 8.27912
10.4722, 9.28326
10.5348, 10.2878
10.4524, 11.2948
11.556, 0.717127
11.3577, 1.69264
11.6728, 2.67187
11.3033, 3.66526
11.5566, 4.67953
11.5413, 5.6991
11.357, 6.69382
11.5921, 7.69072
11.4439, 8.69537
11.4614, 9.70259
11.5207, 10.708
11.4405, 11.7128

0.302501, 0.272477
0.302826, 1.2586
0.364627, 2.2894
0.502029, 3.26923
0.55659, 4.36006
0.635501, 5.35264
0.518242, 6.35478
0.440531, 7.32678
0.580925, 8.28177
0.539955, 9.31145
0.450367, 10.3327
0.268431, 11.3177
1.83415, 0.852429
1.20887, 1.57931
1.53527, 2.7367
1.43636, 3.73677
1.71184, 4.76907
1.46107, 5.88175
1.43298, 6.8794
1.55234, 7.87522
1.46182, 8.87892
1.44476, 9.93458
1.30817, 10.9061
1.27976, 11.9476
2.81765, 0.389273
2.2964, 1.7403
2.64557, 2.61128
2.40212, 3.62284
2.86201, 4.55958
2.50061, 5.4671
2.36984, 6.46373
2.56659, 7.46763
2.44084, 8.47113
2.51206, 9.56049
2.37124, 10.5907
2.22452, 11.5926
3.81771, 0.388106
3.2729, 1.34954
3.65034, 2.3733
3.37986, 3.36238
3.83554, 4.40915
3.51364, 5.4379
3.43274, 6.56311
3.55117, 7.57578
3.49628, 8.60106
3.60282, 9.61012
3.39092, 10.5497
3.31463, 11.5249
4.85986, 0.38655
4.30665, 1.28767
4.70306, 2.1982
4.37401, 3.18497
4.80394, 4.08783
4.61303, 5.08779
4.31643, 6.14301
4.55868, 7.19294
4.46043, 8.19671
4.61944, 9.25208
4.34991, 10.2498
4.38937, 11.376
5.85151, 0.643541
5.61646, 1.67174
5.49222, 2.78411
5.75692, 3.72629
5.64266, 4.66456
5.54813, 5.6256
5.40503, 6.57285
5.50455, 7.68474
5.51227, 8.75526
5.60515, 9.81121
5.26979, 10.7787
5.59719, 11.7274
6.70804, 0.0928898
6.65397, 1.20142
6.44576, 2.22918
6.69633, 3.21896
6.63563, 4.21351
6.5653, 5.27276
6.3837, 6.27637
6.38372, 7.23501
6.38078, 8.27308
6.55352, 9.21424
6.53963, 10.191
6.38615, 11.1293
7.54288, 0.717174
7.52197, 1.76985
7.63817, 2.75591
7.58934, 3.7179
7.52833, 4.70521
7.52552, 5.66113
7.41466, 6.74202
7.33863, 7.76213
7.56255, 8.7733
7.60233, 9.847
7.39742, 10.7909
7.59955, 11.7444
8.48756, 0.144571
8.54172, 1.17895
8.51641, 2.20786
8.6212, 3.26185
8.59536, 4.26829
8.53622, 5.2974
8.36508, 6.37318
8.22963, 7.33072
8.6235, 8.27198
8.48637, 9.22584
8.58554, 10.1664
8.39736, 11.1713
9.45177, 0.687571
9.44821, 1.7916
9.427, 2.73148
9.51815, 3.74973
9.60258, 4.67134
9.58906, 5.74252
9.36081, 6.78018
9.47704, 7.75459
9.5873, 8.74043
9.58011, 9.80197
9.48025, 10.742
9.42423, 11.7306
10.3541, 0.252481
10.3082, 1.26182
10.3739, 2.25932
10.4144, 3.29915
10.599, 4.2852
10.6395, 5.32746
10.4049, 6.32985
10.3983, 7.26038
10.6436, 8.23476
10.5096, 9.25325
10.5162, 10.2815
